[2025-07-11 23:20:08] [INFO    ] discord.client: logging in using static token
[2025-07-11 23:20:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-07-11 23:20:09] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-07-11 23:20:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1393434644833370163', 'username': 'di-motivandote-BOT', 'avatar': '42d77eb91ed425e53ea8e1dc58cd685f', 'discriminator': '1246', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-07-11 23:20:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-07-11 23:20:09] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-07-11 23:20:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1393434644833370163', 'name': 'di-motivandote', 'icon': '42d77eb91ed425e53ea8e1dc58cd685f', 'description': '', 'type': None, 'bot': {'id': '1393434644833370163', 'username': 'di-motivandote-BOT', 'avatar': '42d77eb91ed425e53ea8e1dc58cd685f', 'discriminator': '1246', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'b3542905c92f91d5071f330fe01d70e6e72715d64d44f850e0b96e32714f5170', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '453332789895364629', 'username': 'dimas8537', 'avatar': 'd485ed1f63360ac09e673cd4f17a3d33', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': 778020, 'global_name': 'DimasX', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#0bdf24', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-07-11 23:20:09] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-07-11 23:20:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-pq04",{"micros":0.0}]']}}
[2025-07-11 23:20:09] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-07-11 23:20:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-11 23:20:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'di-motivandote-BOT', 'primary_guild': None, 'mfa_enabled': True, 'id': '1393434644833370163', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1246', 'clan': None, 'bot': True, 'avatar': '42d77eb91ed425e53ea8e1dc58cd685f'}, 'session_type': 'normal', 'session_id': 'e08f519a0ea489fe7167d2304838281e', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1052749073846902864'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['santiago', 'buenos-aires', 'brazil', 'atlanta', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1393434644833370163', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-c-pq04",{"micros":343644,"calls":["id_created",{"micros":514,"calls":[]},"session_lookup_time",{"micros":1078,"calls":[]},"session_lookup_finished",{"micros":24,"calls":[]},"discord-sessions-prd-2-176",{"micros":341654,"calls":["start_session",{"micros":334135,"calls":["discord-api-rpc-6b8c679576-29nnj",{"micros":297685,"calls":["get_user",{"micros":11764},"get_guilds",{"micros":49214},"send_scheduled_deletion_message",{"micros":19},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":12226},"apex_experiments",{"micros":16839},"user_activities",{"micros":10},"played_application_ids",{"micros":5}]}]},"starting_guild_connect",{"micros":21,"calls":[]},"presence_started",{"micros":699,"calls":[]},"guilds_started",{"micros":56,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":6712,"calls":[]},"connect_finished",{"micros":6716,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-07-11 23:20:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-11 23:20:10] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: e08f519a0ea489fe7167d2304838281e).
[2025-07-11 23:20:10] [DEBUG   ] discord.client: Dispatching event connect
